LinNum,LinNom,LinVtj kV,LinR,LinX,LinPU-R,LinPU-X,LinPotMaxA->B MW
918,Tap Alto Melipilla Aux 220->Lo Aguirre 220 II,220.0,4.13465,19.488693,0.008543,0.040266,197.0
919,Tap Alto Melipilla Aux 220->Lo Aguirre 220 III,220.0,4.135632,23.865389,0.008545,0.049309,290.0
922,Tap Alto Melipilla Aux 220->Tap Alto Melipilla 220 II,220.0,0.0,0.001,0.0,2e-06,394.0
926,Tap Central Santa Marta 220->Chena 220 II,220.0,2.012633,10.273335,0.004158,0.021226,367.08
927,Tap Chicureo 220->Chicureo 220 I,220.0,0.60698,2.61286,0.001254,0.005398,281.76
928,Tap Chicureo 220->Chicureo 220 II,220.0,0.60698,2.61286,0.001254,0.005398,281.76
929,Tap Chicureo 220->El Salto 220 I,220.0,0.251936,2.354357,0.000521,0.004864,763.45
930,Tap Chicureo 220->El Salto 220 II,220.0,0.251936,2.354357,0.000521,0.004864,763.45
931,Tap Chicureo 220->Tap El Manzano 220 I,220.0,1.013188,10.259971,0.002093,0.021198,763.63
932,Tap Chicureo 220->Tap El Manzano 220 II,220.0,1.013188,10.259971,0.002093,0.021198,763.63
938,Tap El Rodeo 220 I->Chena 220 I,220.0,2.13145,10.879827,0.004404,0.022479,367.08
939,Tap El Rodeo 220 II->Tap Central Santa Marta 220 II,220.0,0.118817,0.606492,0.000245,0.001253,367.08
180,Alto Jahuel 220->Baja Cordillera 220 I,220.0,1.62435,11.445352,0.003356,0.023647,400.0
181,Alto Jahuel 220->Baja Cordillera 220 II,220.0,1.62435,11.445352,0.003356,0.023647,400.0
213,Baja Cordillera 220->Baja Cordillera 110,220.0,0.082743,12.6566,0.000171,0.02615,400.0
529,Los Almendros 220->Baja Cordillera 220 I,220.0,0.7973,5.617865,0.001647,0.011607,175.77
530,Los Almendros 220->Baja Cordillera 220 II,220.0,0.7973,5.617865,0.001647,0.011607,175.77
540,Los Pimientos 220->Lo Aguirre 220,220.0,1.695818,9.786017,0.003504,0.020219,290.0
920,Tap Alto Melipilla Aux 220->Los Pimientos 220,220.0,2.439814,14.079372,0.005041,0.02909,290.0
273,Cerro Navia Desf 220->Lo Campino 220 I,220.0,0.2747,1.241863,0.000568,0.002566,310.176
274,Cerro Navia Desf 220->Lo Campino 220 II,220.0,0.2747,1.241863,0.000568,0.002566,310.176
519,Lo Campino 220->Lampa 220 I,220.0,1.3001,5.878469,0.002686,0.012146,310.176
520,Lo Campino 220->Lampa 220 II,220.0,1.3001,5.878469,0.002686,0.012146,310.176
521,Lo Campino 220->Lo Campino 110,220.0,0.099774,14.374799,0.000206,0.0297,400.0
